row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,ProcessBlank_1.mzXML Peak area,ProcessBlank_2.mzXML Peak area,Marathon_LyphilizedFilter_2.mzXML Peak area,Marathon_LyphilizedFilter_1.mzXML Peak area,Unnamed: 17
5984,156.10128019213306,2.8447876,area,,,,185.0,682.0,[M+NH4]+,,4.0,5633;5991;5946;5984,138.06702,102.63137,165.35583,6797.8994,11633.784,
4021,156.14810521393346,1.8881389,area,,,,185.0,,,,,,,0.0,17.255093,6614.763,5428.044,
2273,156.94862440630922,1.3851889,area,,,,185.0,101.0,[M+Na]+,,2.0,2193;2273,133.95939,0.0,58.274117,2150.6692,2126.655,
5083,157.08325070652086,2.6392126,area,,,,185.0,634.0,[M+Na]+,,2.0,5083;5081,134.09369,13375.683,16667.455,5153.911,3458.6633,
27303,157.12131856162813,16.996412,area,,,,185.0,2087.0,[2M+Na]+,,2.0,27280;27303,67.06649,42.407585,42.971756,2713.3777,2840.7944,
9770,158.0912681851345,4.5384793,area,,,,185.0,,,,,,,25.184818,36.81711,32797.227,39537.418,
1776,158.9627596862895,1.3728416,area,,,,185.0,73.0,[M+Na]+,,3.0,1858;1626;1776,135.97348,4091.0886,2821.592,124652.17,145477.08,
8040,159.04313120267744,3.6568751,area,,,,185.0,929.0,[M+K]+,,2.0,7997;8040,120.07937,0.0,0.0,534.0013,524.9001,
10370,159.0629199795389,4.9066544,area,,,,185.0,1062.0,[M+Na]+,,2.0,10368;10370,136.07339,38.99372,38.782963,651.28375,1024.506,
10523,159.09976807017128,4.880566,area,,,,185.0,1057.0,[M+H]+,,2.0,10524;10523,158.09327,0.0,20.498093,768.0658,745.518,
4269,159.1119579597245,2.1113083,area,,,,185.0,483.0,[M+H]+,,2.0,4280;4269,158.10524,0.0,0.0,3753.1934,4195.808,
23247,159.13700688572152,13.258416,area,,,,185.0,,,,,,,1132.3494,881.4404,18047.59,18260.762,
4599,159.96795351496365,2.5012958,area,,,,185.0,,,,,,,1012.16205,2492.4075,299.42593,316.37888,
8105,160.09573276219206,3.6912277,area,,,,185.0,936.0,[M+NH4]+,,2.0,8105;8145,142.06168,18.962708,0.0,326.65677,371.32205,
4885,160.0961687146361,2.5596666,area,,,,185.0,549.0,[M+H]+,,1.0,4888,159.0897,0.0,58.2351,131.86035,499.9354,
172,161.0292497744358,1.2098792,area,,,,185.0,11.0,[2M+H-H2O]+,,2.0,172;215,89.01631,96.01402,33.703865,182.95331,235.32056,
27188,161.0950017243041,16.798855,area,,,,185.0,,,,,,,2067.8958,1729.7506,1110.7892,1320.6392,
10310,161.09507620995225,4.8211455,area,,,,185.0,1054.0,[M+H]+,,1.0,10338,160.08811,53.09812,53.3442,2923.0764,2879.1404,
9404,162.05409839008982,4.2758503,area,,,,185.0,999.0,[M+H]+,,2.0,9404;9412,161.04667,0.0,0.0,390.46136,502.59668,
17,162.07497944277227,0.87642086,area,,,,0.0,,,,,,,5544.4805,4377.6553,4505.0703,4526.4106,
4621,162.07510248314068,2.501271,area,,,,185.0,,,,,,,4630.426,20572.957,2625.2322,2613.4028,
26192,162.57695402227344,15.843117,area,,,,185.0,1982.0,[M+H-H2O]+,,2.0,26207;26192,179.58109,0.0,0.0,228.34882,434.4477,
2929,162.99676648071397,1.648325,area,,,,185.0,233.0,[M+H]+,,3.0,2932;2931;2929,161.98931,0.0,0.0,18134.322,18390.371,
4171,163.05893422681777,2.0232875,area,,,,185.0,,,,,,,23.438353,26.422491,9874.954,11032.606,
20567,163.11064507422702,10.679488,area,,,,185.0,1618.0,[M+H-H2O]+,,5.0,20567;20592;20574;20578;20594,180.11384,58.644287,45.221523,30040.188,27077.549,
4736,163.1217244733156,2.5698082,area,,,,185.0,565.0,[M+H]+,,1.0,4745,162.11407,112.59164,147.13449,6082.7896,7273.303,
12046,163.13189456436322,5.5581875,area,,,,185.0,1146.0,[M+H]+,,3.0,12046;12095;12045,162.12488,478.3588,448.34207,11536.035,12004.878,
21,163.93913695150053,0.82522917,area,,,,1.0,,,,,,,255.07307,133.03082,1266.4021,1729.2948,
6791,164.0693247320739,3.2917664,area,,,,185.0,761.0,[M+H-H2O]+,,2.0,6792;6791,181.07263,0.0,19.07426,617.7061,730.57043,
10007,164.07039170643264,4.649754,area,,,,185.0,,,,,,,18.731106,18.427956,16586.385,23553.734,
5248,164.09074340329445,2.6286223,area,,,,185.0,641.0,[M+NH4]+,,3.0,5246;5249;5248,146.05646,23.569674,0.0,716.40625,1126.7548,
2007,164.91941489151205,1.4240791,area,,,,185.0,123.0,[M+Na]+,,3.0,2007;1741;1742,141.93017,705.69946,668.97424,23160.652,22908.469,
4559,164.91975232410783,2.4244585,area,,,,185.0,536.0,[M+Na]+,,2.0,4559;4557,141.93057,19.505232,17.220848,784.32135,664.8995,
3196,164.99148008264908,1.5191624,area,,,,185.0,169.0,[M+K]+,,2.0,3494;3196,126.02859,71.533035,122.14898,34701.867,28940.99,
2614,165.01226715448672,1.5622833,area,,,,185.0,197.0,[M+Na]+,,2.0,2614;2478,142.02354,0.0,0.0,7283.092,4636.509,
15488,165.09003345357416,7.040575,area,,,,185.0,1270.0,[M+H-H2O]+,,2.0,15450;15488,182.09345,80.36886,170.24658,8237.997,6780.4673,
4099,165.1007474723711,2.0255418,area,,,,185.0,412.0,[M+Na]+,,2.0,4088;4099,142.11052,0.0,0.0,1274.2559,1357.347,
18816,165.126280114956,9.274788,area,,,,185.0,,,,,,,114.0576,69.55943,16138.064,16296.481,
